City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
296,Rawson,AR,-43.3002,-65.1023,82.87,32,24,3.18,few clouds
297,Chernyshkovskiy,RU,48.4219,42.2308,34.21,97,100,14.9,overcast clouds
298,Acapulco,MX,16.8634,-99.8901,85.53,55,6,8.39,clear sky
299,Macamic,CA,48.7502,-78.9996,7.03,81,72,4.85,broken clouds
300,Ngama,TD,11.7833,17.1667,72.05,16,5,11.97,clear sky
301,Linden,GY,6.0,-58.3,86.14,36,58,4.18,broken clouds
302,Alyangula,AU,-13.8483,136.4192,80.47,89,100,10.36,overcast clouds
303,Asau,RO,46.4333,26.4,27.52,88,100,6.98,overcast clouds
304,Severnyy,RU,50.677,36.5532,32.04,93,100,8.95,heavy snow
305,Sabha,LY,27.0377,14.4283,50.85,29,7,6.87,clear sky
306,Tura,IN,25.5198,90.2201,51.33,56,0,1.7,clear sky
307,Kenai,US,60.5544,-151.2583,19.09,92,20,4.61,few clouds
308,Avera,US,33.194,-82.5271,42.91,25,0,14.65,clear sky
309,Hamilton,US,39.1834,-84.5333,26.65,60,11,1.01,few clouds
310,Koungheul,SN,13.9833,-14.8,90.27,10,99,6.49,overcast clouds
311,Jacareacanga,BR,-6.2222,-57.7528,78.84,82,100,3.0,overcast clouds
312,Kpandae,GH,8.4689,-0.0113,89.06,13,85,6.04,overcast clouds
313,Paris,FR,48.8534,2.3488,51.12,91,100,5.01,overcast clouds
314,Evensk,RU,61.95,159.2333,21.58,79,100,14.27,overcast clouds
315,Guerrero Negro,MX,27.9769,-114.0611,69.78,29,7,4.18,clear sky
316,Esperance,AU,-33.8667,121.9,64.24,76,0,14.9,clear sky
317,Belmonte,BR,-15.8631,-38.8828,84.7,69,25,11.77,scattered clouds
318,Kokopo,PG,-4.352,152.2633,77.4,86,100,5.48,light rain
319,Medford,US,42.3265,-122.8756,56.3,52,51,1.72,broken clouds
320,San Bartolome De Tirajana,ES,27.9248,-15.5733,57.31,56,3,14.97,haze
321,Lata,PT,40.1629,-8.3327,61.21,49,0,4.74,clear sky
322,Lavrentiya,RU,65.5833,-171.0,-4.56,84,6,3.78,clear sky
323,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,75,12.66,light snow
324,Mehamn,NO,71.0357,27.8492,19.62,84,99,7.05,overcast clouds
325,Belle Fourche,US,44.6714,-103.8522,54.5,15,1,15.9,clear sky
326,Qaqortoq,GL,60.7167,-46.0333,16.23,91,100,2.77,light snow
327,Provideniya,RU,64.3833,-173.3,2.21,87,7,5.39,clear sky
